file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\test\java\io\antmedia\test\StreamSchedularUnitTest.java,io.antmedia.test.StreamSchedularUnitTest,class,37,38,1,37,85,2,0,137,50,0.84923077,0.45238096,0.5714286,25,1,20,5,0,0,21,0,0,0,13,7,8,4,1,0,0,0,13,821,27,10,20,19,10,144,162,186,21,154,3,1,0,33,239,1,28
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\test\java\io\antmedia\test\filter\ContentSecurityPolicyHeaderFilterTest.java,io.antmedia.test.filter.ContentSecurityPolicyHeaderFilterTest,class,8,9,1,8,1,1,0,12,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,46,0,0,0,0,0,9,0,15,0,6,1,0,0,0,30,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\stream\PlaylistSubscriberStream.java,org.red5.server.stream.PlaylistSubscriberStream$Anonymous6,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,1,0,0,0,0,1,0,0,0,11,-1,1
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\stream\PlaylistSubscriberStream.java,org.red5.server.stream.PlaylistSubscriberStream$Anonymous7,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,1,1,1,0,1,1,0,0,0,13,-1,1
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\net\rtmp\RTMPMinaConnection.java,org.red5.server.net.rtmp.RTMPMinaConnection,class,15,24,9,15,74,3,0,69,159,0.8253969,0.2735043,0.5982906,27,0,24,0,3,0,27,0,0,0,7,1,0,3,4,0,1,0,5,277,19,2,19,4,5,31,17,42,0,25,5,1,0,0,159,1,22
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\stream\IProviderService.java,org.red5.server.stream.IProviderService,interface,5,13,8,5,9,1,0,0,36,1.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,1,1,1,0,0,0,1,0,0,13,0,0,0,0,0,1,0,1,0,1,0,0,1,0,81,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\test\java\io\antmedia\test\console\AuthenticationFilterTest.java,io.antmedia.test.console.AuthenticationFilterTest,class,13,13,0,13,10,1,0,40,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,3,0,90,35,51,0,30,1,0,0,0,162,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\io\antmedia\filter\HlsStatisticsFilter.java,io.antmedia.filter.HlsStatisticsFilter,class,5,5,0,5,7,3,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,3,0,0,2,1,1,0,1,1,0,0,0,29,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\test\java\io\antmedia\test\filter\CorsHeaderFilterTest.java,io.antmedia.test.filter.CorsHeaderFilterTest,class,7,7,0,7,4,1,0,21,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,83,0,0,0,1,0,24,1,19,0,6,1,0,0,0,35,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\test\java\io\antmedia\test\webrtc\adaptor\WebSocketCommunityHandlerTest.java,io.antmedia.test.webrtc.adaptor.WebSocketCommunityHandlerTest$Anonymous1,anonymous,1,1,0,1,3,1,0,2,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,-1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\net\rtmp\message\ChunkHeader.java,org.red5.server.net.rtmp.message.ChunkHeader,class,5,7,2,5,22,1,0,14,0,0.5208334,0.6969697,1.0,12,1,12,0,0,0,12,0,0,0,4,1,0,3,1,0,1,0,1,94,9,0,2,0,10,11,26,22,7,12,3,0,0,0,69,1,1
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\webrtc\audio\JavaAudioDeviceModule.java,org.webrtc.audio.JavaAudioDeviceModule$AudioRecordStartErrorCode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\stream\PlaylistSubscriberStream.java,org.red5.server.stream.PlaylistSubscriberStream$Anonymous4,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,1,2,2,0,2,1,0,0,0,16,-1,1
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\stream\PlaylistSubscriberStream.java,org.red5.server.stream.PlaylistSubscriberStream$Anonymous5,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,1,0,0,0,0,1,0,0,0,11,-1,1
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\stream\PlaylistSubscriberStream.java,org.red5.server.stream.PlaylistSubscriberStream$Anonymous2,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,1,2,2,0,2,1,0,0,0,15,-1,1
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\stream\PlaylistSubscriberStream.java,org.red5.server.stream.PlaylistSubscriberStream$Anonymous3,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,1,2,2,0,2,1,0,0,0,15,-1,1
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\stream\PlaylistSubscriberStream.java,org.red5.server.stream.PlaylistSubscriberStream$Anonymous1,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,1,2,2,0,2,1,0,0,0,15,-1,1
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\io\antmedia\plugin\FrameFeeder.java,io.antmedia.plugin.FrameFeeder,class,4,5,1,4,11,1,0,6,0,0.5,0.8666667,1.0,6,0,6,0,0,0,6,0,0,0,3,1,0,3,0,0,1,0,0,39,2,3,2,0,0,0,0,7,0,5,2,0,0,0,23,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\stream\IStreamSource.java,org.red5.server.stream.IStreamSource,interface,1,2,1,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
